Page Number,Archive / Non Archive,Financial Year,Name of the Insurer,Product Name,UIN,Type Of Product,Date Of Launch/Effecting Modification,Date Of Closing / Withdrawal,Protection/ Savings/ Retirement,Par/Non-par,Individual/Group,Remarks,Download,document_link
13,Non-Archived,2020-21,Life Insurance Corporation of India,LIC's Cancer Cover,512N314V02,Non-ULIP,2020-10-0101-10-2020,----,Protection,Non-Par,Individual,,Sample Policy Document_LIC's Cancer Cover_UIN_512N314V02_2020-214.9 MB,https://irdai.gov.in/documents/37343/563751/Sample+Policy+Document_LIC%27s+Cancer+Cover_UIN_512N314V02_2020-21.pdf/81916cad-085a-c11d-1580-dd31464295b0?version=1.1&t=1668055735495&download=true
13,Non-Archived,2020-21,Aditya Birla Sun Life Insurance Co. Ltd.,ABSLI Saral Jeevan Bima,109N128V01,Non-ULIP,2021-03-0909-03-2021,----,Protection,Non-par,Individual,,ABSLI Saral Jeevan Bima - Policy Contract_2020-211.2 MB,https://irdai.gov.in/documents/37343/563751/ABSLI+Saral+Jeevan+Bima+-+Policy+Contract_2020-21.pdf/86596c24-f4ab-d7dd-509f-17b8605482c0?version=1.1&t=1667292356518&download=true
13,Non-Archived,2020-21,Max Life Insurance Co. Ltd.,Max Life COVID19 One Year Term Rider,104B048V01,Non ULIP,2020-09-0707-09-2020,----,,Non-Par,Individual,,Max Life COVID19 One Year Term Rider_Policy Document_2020-21658 KB,https://irdai.gov.in/documents/37343/563751/Max+Life+COVID19+One+Year+Term+Rider_Policy+Document_2020-21.pdf/14893061-016b-b75a-d2e6-dc51e9eb99c7?version=1.1&t=1667979099838&download=true
13,Non-Archived,2020-21,Aditya Birla Sun Life Insurance Co. Ltd.,ABSLI Waiver of Premium Rider,109A039V01,Non-ULIP,2020-07-2121-07-2020,----,Protection,Non-par,Individual,Rider,ABSLI-Waiver-of-Premium-Rider-Policy Contract_2020-21965 KB,https://irdai.gov.in/documents/37343/563751/ABSLI-Waiver-of-Premium-Rider-Policy+Contract_2020-21.pdf/39236800-1700-ce2f-827c-039ef33f873c?version=1.1&t=1667292081723&download=true
13,Non-Archived,2020-21,Aditya Birla Sun Life Insurance Co. Ltd.,ABSLI Accidental Death Benefit Rider Plus,109A024V01,Non-ULIP,2020-07-2121-07-2020,----,Protection,Non-par,Individual,Rider,ABSLI-Accidental-Death-Benefit-Rider-Plus-Policy Contract_2020-21932 KB,https://irdai.gov.in/documents/37343/563751/ABSLI-Accidental-Death-Benefit-Rider-Plus-Policy+Contract_2020-21.pdf/2c5c84c4-62e6-d3ec-1204-39f922b1aa50?version=1.1&t=1667291757550&download=true
13,Non-Archived,2020-21,Max Life Insurance Co. Ltd.,Max Life Saral Jeevan Bima,104N117V01,Non ULIP,2021-03-1010-03-2021,----,Protection,Non-Par,Individual,,Max life Saral Jeevan Bima - Policy Document_2020-21753 KB,https://irdai.gov.in/documents/37343/563751/Max+life+Saral+Jeevan+Bima+-+Policy+Document_2020-21.pdf/6b043295-9b48-056b-6fc1-59c9356209cd?version=1.1&t=1667977790051&download=true
13,Non-Archived,2020-21,HDFC Life Insurance Company Limited,HDFC Life Group Poorna Suraksha,101N137V01,Non-ULIP,2020-09-0909-09-2020,----,Protection,Non Par,Group,,HDFC Life Group Poorna Suraksha -PD_2020-21808 KB,https://irdai.gov.in/documents/37343/563751/HDFC+Life+Group+Poorna+Suraksha+-PD_2020-21.pdf/31f82a0f-2094-2328-0426-c6134e993b6f?version=1.1&t=1667914219480&download=true
13,Non-Archived,2020-21,Life Insurance Corporation of India,LIC'S Bima Jyoti,512N339V01,Non-ULIP,2021-02-2222-02-2021,----,Savings,Non-Par,Individual,,PD_LIC's Bima Jyoti with logo_2020-216.5 MB,https://irdai.gov.in/documents/37343/563751/PD_LIC%27s+Bima+Jyoti+with+logo_2020-21.pdf/f5b0e248-3242-b566-a74b-62f0d999faf4?version=1.1&t=1668055523795&download=true
13,Non-Archived,2020-21,Life Insurance Corporation of India,LIC's New Critical Illness Benefit Rider,512A212V02,Non-ULIP,2020-10-0101-10-2020,----,Protection,Non-Par,Individual,,Sample Policy Document_LIC's New Critical Illness Benefit Rider_UIN_512A212V02_2020-212.5 MB,https://irdai.gov.in/documents/37343/563751/Sample+Policy+Document_LIC%27s+New+Critical+Illness+Benefit+Rider_UIN_512A212V02_2020-21.pdf/e9754046-8f17-88d2-ca57-e927ba8fa1f0?version=1.1&t=1668055640706&download=true
13,Non-Archived,2020-21,HDFC Life Insurance Company Limited,HDFC Life New Immediate Annuity Plan,101N084V18,Non-ULIP,2020-05-0808-05-2020,2020-08-3131-08-2020,Retirement,Non Par,Both,Annuity,HDFC Life New Immediate Annuity Plan-PD-Group_2020-21768 KB,https://irdai.gov.in/documents/37343/563751/HDFC+Life+New+Immediate+Annuity+Plan-PD-Group_2020-21.pdf/d059052e-d10e-7f25-e7e2-5d094700aa25?version=1.1&t=1667914011231&download=true
